common_name,comment_percent,exclamation_percent,count,url
American Robin,4.985292193197258,0.981511070531846,175757,https://www.allaboutbirds.org/guide/assets/og/525877951-1200px.jpg
House Sparrow,5.0611345600811415,0.6074411541381943,156131,https://www.allaboutbirds.org/guide/assets/og/615440228-1200px.jpg
Northern Cardinal,7.847846245188736,0.510030601836109,149901,https://www.allaboutbirds.org/guide/assets/og/75224371-1200px.jpg
Canada Goose,6.507415391412595,0.7842678216083276,131281,https://www.allaboutbirds.org/guide/assets/og/75298411-1200px.jpg
Mallard,4.951152345670566,0.6786955802019441,122012,https://www.allaboutbirds.org/guide/assets/og/75711041-1200px.jpg
Red-winged Blackbird,5.323467542532236,1.2651646447140097,108388,https://www.allaboutbirds.org/guide/assets/og/619048659-1200px.jpg
Ring-billed Gull,3.773355300108494,0.4217315802530359,106828,https://www.allaboutbirds.org/guide/assets/og/75368361-1200px.jpg
European Starling,3.904173831483427,0.750750750750751,102352,https://www.allaboutbirds.org/guide/assets/og/634308056-1200px.jpg
American Goldfinch,4.656085717725164,0.8834302951950037,99676,https://www.allaboutbirds.org/guide/assets/og/526210021-1200px.jpg
Downy Woodpecker,6.111116761077966,0.5658179397570269,98329,https://www.allaboutbirds.org/guide/assets/og/619542098-1200px.jpg
Black-capped Chickadee,3.3018143075210205,0.9618367980142654,97613,https://www.allaboutbirds.org/guide/assets/og/528129121-1200px.jpg
Mourning Dove,5.330754259076738,0.6986702727067691,83234,https://www.allaboutbirds.org/guide/assets/og/528129461-1200px.jpg
Common Grackle,3.7390999163093195,1.1913357400721987,74082,https://www.allaboutbirds.org/guide/assets/og/619130142-1200px.jpg
Song Sparrow,3.2911644020389335,1.1216566005176791,70431,https://www.allaboutbirds.org/guide/assets/og/75363881-1200px.jpg
House Finch,9.224497940449302,0.5407911001236232,70161,https://www.allaboutbirds.org/guide/assets/og/526209281-1200px.jpg
Blue Jay,4.004823272289023,1.54309371471585,66345,https://www.allaboutbirds.org/guide/assets/og/525880701-1200px.jpg
American Crow,4.727652679558656,1.2491992312620057,66037,https://www.allaboutbirds.org/guide/assets/og/619048721-1200px.jpg
Rock Pigeon,8.045634920635182,0.616522811344019,60480,https://www.allaboutbirds.org/guide/assets/og/75368111-1200px.jpg
Dark-eyed Junco,5.517733793836137,1.2639181462533773,60224,https://www.allaboutbirds.org/guide/assets/og/75340411-1200px.jpg
Red-bellied Woodpecker,5.458378340708901,1.2448132780083025,57398,https://www.allaboutbirds.org/guide/assets/og/75714641-1200px.jpg
Northern Flicker,3.9113751701943733,1.8083182640144686,56553,https://www.allaboutbirds.org/guide/assets/og/615440015-1200px.jpg
