Common Name,Image URL
American Robin,https://www.allaboutbirds.org/guide/assets/og/525877951-1200px.jpg
House Sparrow,https://www.allaboutbirds.org/guide/assets/og/615440228-1200px.jpg
Northern Cardinal,https://www.allaboutbirds.org/guide/assets/og/75224371-1200px.jpg
Canada Goose,https://www.allaboutbirds.org/guide/assets/og/75298411-1200px.jpg
Mallard,https://www.allaboutbirds.org/guide/assets/og/75711041-1200px.jpg
Red-winged Blackbird,https://www.allaboutbirds.org/guide/assets/og/619048659-1200px.jpg
Ring-billed Gull,https://www.allaboutbirds.org/guide/assets/og/75368361-1200px.jpg
European Starling,https://www.allaboutbirds.org/guide/assets/og/634308056-1200px.jpg
American Goldfinch,https://www.allaboutbirds.org/guide/assets/og/526210021-1200px.jpg
Downy Woodpecker,https://www.allaboutbirds.org/guide/assets/og/619542098-1200px.jpg
Black-capped Chickadee,https://www.allaboutbirds.org/guide/assets/og/528129121-1200px.jpg
Mourning Dove,https://www.allaboutbirds.org/guide/assets/og/528129461-1200px.jpg
Common Grackle,https://www.allaboutbirds.org/guide/assets/og/619130142-1200px.jpg
Song Sparrow,https://www.allaboutbirds.org/guide/assets/og/75363881-1200px.jpg
House Finch,https://www.allaboutbirds.org/guide/assets/og/526209281-1200px.jpg
Blue Jay,https://www.allaboutbirds.org/guide/assets/og/525880701-1200px.jpg
American Crow,https://www.allaboutbirds.org/guide/assets/og/619048721-1200px.jpg
Rock Pigeon,https://www.allaboutbirds.org/guide/assets/og/75368111-1200px.jpg
Dark-eyed Junco,https://www.allaboutbirds.org/guide/assets/og/75340411-1200px.jpg
Red-bellied Woodpecker,https://www.allaboutbirds.org/guide/assets/og/75714641-1200px.jpg
Northern Flicker,https://www.allaboutbirds.org/guide/assets/og/615440015-1200px.jpg
Chimney Swift,https://www.allaboutbirds.org/guide/assets/og/75334281-1200px.jpg
American Herring Gull,https://www.allaboutbirds.org/guide/assets/og/623640158-1200px.jpg
Double-crested Cormorant,https://www.allaboutbirds.org/guide/assets/og/75340501-1200px.jpg
